Word,Score1,Score2,Final_Score
montana,0.000518243,51.8243,52
dump,0.000503653,50.3653,51
thank,0.000502061,50.2061,51
#saveourplanet,0.000485689,48.5689,49
food,0.000466258,46.6258,47
vote,0.000462145,46.2145,47
these-are-the-facts-on-fossil-fuel-money-going-to-the-clinton-and-sanders-campaign,0.00045724,45.724,46
hoax,0.000455516,45.5516,46
american,0.000400177,40.0177,41
#bigoil,0.00039974,39.974,40
populist,0.000365523,36.5523,37
regulation,0.000364289,36.4289,37
dim-wit,0.000354389,35.4389,36
#unknown,0.000339554,33.9554,34
#voteblue,0.000325986,32.5986,33
bbc,0.000322257,32.2257,33
pic,0.000301183,30.1183,31
johnpodesta,0.000290792,29.0792,30
allanmargolin,0.000277921,27.7921,28
email,0.000257355,25.7355,26
read,0.00025644,25.644,26
side,0.000229582,22.9582,23
#rainforest,0.000219575,21.9575,22
#hackinghillaryhttp,0.000206885,20.6885,21
#arizona,0.000158529,15.8529,16
step,0.000148558,14.8558,15
money,0.000132452,13.2452,14
