Word,Score1,Score2,Final_Score
#globalwarming,0.078341847,7834.184666,7835
http,0.040484043,4048.404308,4049
drjillstein,0.030830354,3083.035393,3084
million,0.028721718,2872.171751,2873
#laborday,0.027853958,2785.395833,2786
#studentdebt,0.021738736,2173.873562,2174
#gop,0.019036922,1903.692195,1904
statu,0.018254168,1825.416824,1826
energi,0.015574022,1557.402156,1558
dailycal,0.015451229,1545.122913,1546
#china,0.015140066,1514.006616,1515
oil,0.01258778,1258.777972,1259
#potu,0.011468771,1146.877054,1147
produc,0.010895397,1089.539696,1090
nhttp,0.008958246,895.8245771,896
#ajamubaraka,0.008780922,878.0921902,879
#imwithh,0.008414935,841.4935071,842
paid,0.008173242,817.324209,818
muslim,0.007599155,759.9155384,760
#clintonfound,0.00693817,693.8170244,694
#usa,0.006556218,655.6218154,656
sale,0.00647431,647.4309901,648
www,0.005938315,593.8314982,594
bhoi,0.005856555,585.6554975,586
big,0.0058158,581.5799791,582
consum,0.005596125,559.6124995,560
jill,0.005592991,559.2991075,560
bit,0.005179744,517.974424,518
potu,0.005073572,507.3571996,508
huge,0.004920346,492.0346006,493
increas,0.004768869,476.8868719,477
warnin,0.004634242,463.4242195,464
#dem,0.004626007,462.6006935,463
#rainforest,0.004619195,461.9195383,462
#renewableenergi,0.004483546,448.3545876,449
utm_campaign,0.004438008,443.8007977,444
disagre,0.004420661,442.066068,443
nshe',0.004276757,427.6756835,428
philsilverman,0.004241654,424.1653574,425
stuff,0.004145262,414.5261629,415
ctkjm,0.003881427,388.1426997,389
live,0.003817479,381.7478891,382
climat,0.003737911,373.791123,374
read,0.00366352,366.3519844,367
yet,0.003636677,363.6677226,364
hillaryclinton,0.003572205,357.2204634,358
#trumpenmexico,0.003507627,350.7627062,351
#job,0.003361412,336.141159,337
gore,0.003325883,332.5882683,333
#u,0.00331616,331.6160425,332
ngener,0.003312095,331.2094613,332
fool,0.003281235,328.1235342,329
dim-wit,0.003268316,326.8315759,327
instal,0.003245974,324.5974315,325
#algor,0.003237135,323.7135114,324
#pollut,0.003228897,322.8897401,323
minerjp,0.003221412,322.1412474,323
chang,0.003178742,317.8742161,318
stein,0.003140574,314.0574304,315
eleph,0.003080757,308.0756668,309
take,0.003015218,301.5217922,302
narctic,0.003006734,300.6733744,301
#petergleick,0.002989282,298.9281934,299
allanmargolin,0.002982598,298.2598452,299
unhumanright,0.002981722,298.172195,299
these-are-the-facts-on-fossil-fuel-money-going-to-the-clinton-and-sanders-campaign,0.002930919,293.0919201,294
#votebluep,0.002929693,292.9692912,293
pay,0.00287856,287.8559605,288
kill,0.002873687,287.3686807,288
user-shar,0.00286865,286.8649615,287
#what,0.002860407,286.0406819,287
nthe,0.002859866,285.986628,286
mjeeq,0.002830363,283.0362581,284
scienc,0.002814629,281.4629095,282
#donaldtrump,0.002812126,281.2126028,282
#miamibeach,0.002794651,279.4651382,280
fox,0.002775488,277.54882,278
tax,0.002757055,275.7054972,276
rememb,0.002752073,275.207318,276
money,0.002747198,274.7197655,275
compani,0.002730612,273.0612036,274
home,0.002727951,272.7951024,273
eye,0.002726421,272.6420598,273
dees,0.002712967,271.2967181,272
#eileenskahil,0.002699814,269.9813996,270
see,0.002691083,269.1083129,270
nb'new,0.002668844,266.8844473,267
#monsanto,0.002600545,260.0544743,261
jpwxchgm,0.002584819,258.4818508,259
#saveourplanet,0.00258251,258.2509917,259
utm_medium,0.002569196,256.919589,257
#p2,0.002547791,254.7790985,255
real,0.002540886,254.0886109,255
messag,0.002538269,253.8269499,254
#ohiop,0.002520943,252.0942701,253
deal,0.002518783,251.878279,252
formal,0.00251753,251.7529772,252
garbag,0.002511525,251.1525178,252
montana,0.002479093,247.9092749,248
refuge,0.002472089,247.2089404,248
agvta,0.002465148,246.5147636,247
