Word,Score1,Score2,Final_Score
#trumpenmexico,0.004781988,4781.988402,4782
#imwithh,0.023924506,23924.50618,23925
#usa,0.020257973,20257.97277,20258
#ajamubaraka,0.0170644,17064.40029,17065
#potu,0.016781197,16781.1974,16782
million,0.015317625,15317.6254,15318
#job,0.014502621,14502.62091,14503
drjillstein,0.012719999,12719.99871,12720
#donaldtrump,0.012657461,12657.46141,12658
statu,0.012435089,12435.08867,12436
muslim,0.010993545,10993.54473,10994
climat,0.010521513,10521.51327,10522
pic,0.009635753,9635.752522,9636
nshe',0.009396143,9396.14298,9397
#gop,0.00881325,8813.249726,8814
dailycal,0.008283768,8283.768348,8284
energi,0.007917619,7917.619186,7918
hillaryclinton,0.007616214,7616.214177,7617
oil,0.007229496,7229.496392,7230
www,0.007165578,7165.578355,7166
increas,0.007088295,7088.294921,7089
actual,0.006939227,6939.22696,6940
got,0.006374158,6374.15779,6375
tax,0.006282492,6282.49189,6283
pay,0.005776102,5776.101518,5777
make,0.005682989,5682.988918,5683
peopl,0.005331644,5331.644118,5332
jill,0.005178691,5178.690708,5179
#china,0.004714062,4714.06194,4715
#renewableenergi,0.004618009,4618.008976,4619
youtu,0.004352419,4352.419109,4353
say,0.004327497,4327.49689,4328
#studentdebt,0.004234386,4234.38596,4235
news,0.004178544,4178.543754,4179
#goppic,0.004111342,4111.341542,4112
#dem,0.004085587,4085.587156,4086
dr-james-hansen,0.004079243,4079.243203,4080
melt,0.004035174,4035.173947,4036
huge,0.003985634,3985.634124,3986
supportr,0.003979508,3979.507681,3980
#pari,0.003907942,3907.942345,3908
#voteblu,0.003661004,3661.004239,3662
ban,0.003589878,3589.878456,3590
big,0.003463186,3463.186077,3464
cann,0.003450131,3450.131194,3451
#hrc,0.00333394,3333.93955,3334
free,0.00316191,3161.909679,3162
minerjp,0.003134267,3134.266893,3135
#unknown,0.003130248,3130.248098,3131
stuff,0.003003905,3003.905124,3004
gore,0.002989157,2989.157132,2990
power,0.002967679,2967.679444,2968
