Word,Score1,Score2,Final_Score
#potus,0.021973276,21973.2759,21974
kill,0.020323223,20323.22328,20324
http,0.017006182,17006.18179,17007
paid,0.015893513,15893.51272,15894
#job,0.014536461,14536.4609,14537
#clintonfound,0.014441535,14441.53503,14442
#ajamubaraka,0.013342689,13342.68905,13343
got,0.012748441,12748.44111,12749
#jillstein,0.012199792,12199.79211,12200
twitter,0.011641692,11641.69174,11642
produc,0.011566257,11566.2574,11567
#imwithher,0.011130973,11130.97258,11131
#laborday,0.011062488,11062.48767,11063
dailycal,0.011037065,11037.06483,11038
pic,0.010902609,10902.60941,10903
#gop,0.009103595,9103.595263,9104
youtu,0.00822295,8222.949813,8223
oil,0.008164341,8164.341303,8165
jill,0.007933029,7933.028939,7934
#nevertrump,0.007478914,7478.914256,7479
#usa,0.006945162,6945.161989,6946
muslim,0.006475004,6475.00382,6476
news,0.00643846,6438.460103,6439
compani,0.005525814,5525.813829,5526
#dem,0.005051052,5051.051796,5052
climat,0.005050176,5050.175522,5051
sale,0.004904067,4904.066529,4905
#cnn,0.004673012,4673.012081,4674
#china,0.004611418,4611.418477,4612
supportr,0.004607593,4607.592626,4608
stein,0.004606284,4606.283894,4607
nhttp,0.004582176,4582.176048,4583
ban,0.004473931,4473.930611,4474
melt,0.004470952,4470.95189,4471
say,0.004256897,4256.896711,4257
thank,0.004116216,4116.215554,4117
#goppic,0.004063044,4063.044361,4064
#u,0.003963272,3963.271965,3964
#globalist,0.003631528,3631.527844,3632
year,0.003618662,3618.661575,3619
drjillstein,0.003558882,3558.882146,3559
gore,0.003515946,3515.945942,3516
consum,0.003511009,3511.009158,3512
today,0.00347327,3473.270156,3474
minerjp,0.003452296,3452.296392,3453
free,0.003381195,3381.194894,3382
make,0.003367707,3367.706925,3368
pleas,0.003261235,3261.235035,3262
www,0.003255235,3255.235195,3256
johnpodesta,0.003135358,3135.357879,3136
ad,0.002986628,2986.628283,2987
vote,0.002943866,2943.865682,2944
warnin,0.002943254,2943.25354,2944
step,0.002895285,2895.28548,2896
modifion,0.002887127,2887.126699,2888
wuz,0.002860501,2860.500563,2861
pay,0.00282498,2824.979677,2825
yellowstone-grapples-with-unknowns-of-climate-chang,0.00278236,2782.36039,2783
cann,0.002762765,2762.764969,2763
#panel,0.002754857,2754.857355,2755
fruitetrang,0.002725993,2725.992712,2726
#trump,0.002721747,2721.74671,2722
energi,0.002618362,2618.362108,2619
solar,0.002613623,2613.623069,2614
bit,0.002612198,2612.197846,2613
regul,0.002589766,2589.766493,2590
#new,0.002556913,2556.912894,2557
stori,0.002502131,2502.130746,2503
#energi,0.002496168,2496.168474,2497
allanmargolin,0.002484811,2484.810993,2485
worri,0.002443617,2443.616803,2444
oklahoma,0.002441348,2441.348389,2442
#pari,0.002428084,2428.084435,2429
#ohiop,0.002419642,2419.641866,2420
lbmrba,0.002408342,2408.341763,2409
#obamacar,0.002382287,2382.28669,2383
utm_sourc,0.002341182,2341.181713,2342
american,0.002339429,2339.428939,2340
save,0.002315777,2315.77695,2316
narctic,0.002302058,2302.057637,2303
money,0.00230083,2300.829975,2301
time,0.002297106,2297.105511,2298
#ifmenhadperiod,0.002292572,2292.571518,2293
ced,0.002290928,2290.928208,2291
meetthepress,0.002288197,2288.196722,2289
nrespons,0.002288032,2288.031909,2289
sagfooa,0.002279369,2279.368795,2280
china,0.002274741,2274.740969,2275
billion,0.002259315,2259.31538,2260
#join,0.002252287,2252.287091,2253
salvation---but,0.002252066,2252.065754,2253
email,0.002249724,2249.723928,2250
deal,0.002236802,2236.801873,2237
#floridap,0.002233749,2233.748758,2234
#trumppic,0.002188684,2188.684463,2189
believ,0.002184335,2184.335239,2185
#co2,0.002163152,2163.152398,2164
food,0.002156895,2156.894836,2157
fast,0.002143805,2143.805391,2144
#iowa,0.002139388,2139.387948,2140
i-am-an-energy-voter_b,0.002108731,2108.731047,2109
#wendyhaggren,0.002086845,2086.844902,2087
#algor,0.002077276,2077.275539,2078
exclusive-persian-gulf-sheikhs-gave-bill-hillari,0.002039496,2039.496329,2040
xne,0.002034915,2034.915465,2035
#miamibeach,0.002029004,2029.004408,2030
state-and-region,0.00201016,2010.159549,2011
whitehous,0.002007216,2007.215697,2008
#bigoil,0.001994509,1994.508912,1995
#nohil,0.001985082,1985.082272,1986
#hackinghillaryhttp,0.001982569,1982.568792,1983
utm_campaign,0.001978193,1978.192752,1979
#fossilfuel,0.001977522,1977.52228,1978
#golddiggerhttp,0.001976892,1976.891923,1977
discount,0.001970196,1970.195883,1971
talk,0.001932847,1932.846587,1933
philsilverman,0.001916117,1916.116991,1917
deni,0.001915078,1915.077592,1916
user-shar,0.001914357,1914.357245,1915
dim-wit,0.001903395,1903.395127,1904
lrnr,0.001890069,1890.068741,1891
hillaryclinton,0.001889314,1889.314188,1890
dump,0.001882747,1882.747414,1883
duue,0.001836192,1836.19169,1837
video,0.001833565,1833.565258,1834
agreement,0.001830784,1830.784268,1831
hoax,0.001821932,1821.932212,1822
huffingtonpost,0.001817961,1817.960508,1818
nb'thank,0.001817707,1817.706517,1818
bear,0.00181721,1817.209979,1818
#donaldtrump,0.001817202,1817.201715,1818
myth,0.001798409,1798.409008,1799
must,0.001797153,1797.15279,1798
#pb,0.001785979,1785.979083,1786
guvfnn,0.001769952,1769.95246,1770
live,0.001767364,1767.364341,1768
side,0.001765868,1765.868232,1766
#stienbaraka,0.001752273,1752.272987,1753
refuge,0.001733884,1733.883555,1734
collegedem,0.001732567,1732.566745,1733
obvious,0.001715816,1715.815852,1716
power,0.001692391,1692.391176,1693
#monsanto,0.00168833,1688.33017,1689
#renewableenergi,0.001674549,1674.549438,1675
eozo,0.001669939,1669.939422,1670
#rainforest,0.001669266,1669.265663,1670
que,0.001659584,1659.584286,1660
#wisdom,0.001651044,1651.04421,1652
bem,0.001648266,1648.266394,1649
#amalclooney,0.001644294,1644.294347,1645
real,0.001638286,1638.286043,1639
huge,0.001634409,1634.408916,1635
#voteblu,0.001633386,1633.386206,1634
big,0.001627212,1627.212389,1628
nb'new,0.001624969,1624.969338,1625
vnyi,0.001623908,1623.907829,1624
proud,0.001618201,1618.200912,1619
kqm,0.001606813,1606.813388,1607
ttm,0.001594609,1594.608906,1595
#studentdebt,0.001580899,1580.899098,1581
org,0.001579017,1579.016569,1580
#p2,0.001559457,1559.457021,1560
ngener,0.001549062,1549.06217,1550
folk,0.001514046,1514.046302,1515
#unknown,0.001512815,1512.815209,1513
#newyorktim,0.00151224,1512.240269,1513
brink,0.001510269,1510.268876,1511
scienc,0.001496213,1496.212623,1497
park,0.001492736,1492.735539,1493
billingsgazett,0.001475061,1475.06132,1476
agvta,0.001466401,1466.400658,1467
nthe,0.001455413,1455.412738,1456
frack,0.001442285,1442.285366,1443
panel,0.001411595,1411.594826,1412
#arizona,0.001376889,1376.888887,1377
corrupt,0.00137432,1374.31969,1375
think,0.001351359,1351.358958,1352
ppl,0.001342725,1342.725444,1343
#cnnpic,0.001336967,1336.9668,1337
greenpeac,0.00133177,1331.770145,1332
#fracknohttp,0.001325352,1325.351976,1326
nb'must,0.001322515,1322.514909,1323
nb'pl,0.001322223,1322.223153,1323
support,0.001315743,1315.742889,1316
see,0.001315515,1315.514788,1316
extinct,0.001315188,1315.188462,1316
#hillari,0.001306221,1306.221054,1307
wrekingballdud,0.001304878,1304.877903,1305
thx,0.001293724,1293.724003,1294
one,0.001288916,1288.915584,1289
plut,0.001269668,1269.668491,1270
term,0.001263596,1263.595989,1264
#itsinourhand,0.001248598,1248.597935,1249
settl,0.001240889,1240.888749,1241
#solar,0.001235107,1235.107386,1236
#democrat,0.001227427,1227.426988,1228
nb'glacier,0.001219813,1219.812963,1220
#trumpenmexico,0.001216148,1216.148327,1217
stuff,0.001201145,1201.144873,1202
know,0.001197336,1197.336365,1198
radiocanadainfo,0.001175964,1175.96444,1176
read,0.001175209,1175.208776,1176
#eileenskahil,0.00116581,1165.809603,1166
instal,0.001160636,1160.63602,1161
hkipl-ksu,0.001156492,1156.491508,1157
island,0.001145381,1145.380743,1146
these-are-the-facts-on-fossil-fuel-money-going-to-the-clinton-and-sanders-campaign,0.001140626,1140.625525,1141
populist,0.00113139,1131.390009,1132
knew,0.001121645,1121.644656,1122
tackl,0.001117465,1117.464711,1118
nov,0.001114284,1114.284294,1115
urgenc,0.001096564,1096.564292,1097
voter,0.001092408,1092.407519,1093
zzvfovthp,0.001082914,1082.914009,1083
conservtvforum,0.001079557,1079.556861,1080
montana,0.001078915,1078.914962,1079
chqoujw,0.001032931,1032.930901,1033
nb'don,0.001028733,1028.733226,1029
nytim,0.001024972,1024.971671,1025
#votebluep,0.001019566,1019.565543,1020
world-asia-china,0.00101956,1019.560443,1020
eye,0.000986854,986.8540047,987
bbc,0.000967822,967.8215129,968
kvudnldua,0.00096622,966.2198182,967
bring,0.000941975,941.9749463,942
unhumanright,0.000940757,940.7565528,941
grappl,0.000904089,904.0894708,905
pa,0.000899737,899.7372847,900
nb'keep,0.000896924,896.9241349,897
#pollut,0.000892447,892.4473484,893
dees,0.000880444,880.4444753,881
fuck,0.000872162,872.1620548,873
mjeeq,0.000868259,868.2587967,869
parler,0.000867258,867.2576769,868
enough,0.00086308,863.079796,864
#hrc,0.000859541,859.5408767,860
nto,0.000854793,854.7933747,855
#cleanair,0.000851322,851.3220502,852
usa,0.000846913,846.9128772,847
dr-james-hansen,0.000808247,808.2469206,809
greenpartyu,0.000806079,806.0790003,807
jpwxchgm,0.00077696,776.9595245,777
thecollegefix,0.000763926,763.9258101,764
#xijinp,0.00075549,755.4897974,756
social,0.000754385,754.3847017,755
word,0.000753925,753.9253409,754
#rebeccalaroch,0.000744565,744.5652306,745
#humanistreport,0.000735431,735.4312513,736
presid,0.000730325,730.3245206,731
utm_medium,0.000720607,720.6074545,721
darkpolitrick,0.000708734,708.7335638,709
list,0.000694613,694.6133525,695
pact,0.000691384,691.3840584,692
nb'america,0.000684318,684.3176901,685
#what,0.000677158,677.1583652,678
lot,0.000669116,669.1159369,670
increas,0.000632613,632.6126513,633
fool,0.000626662,626.662077,627
nhalf,0.000607006,607.0056233,608
home,0.000581539,581.539285,582
gbss,0.000578407,578.4074789,579
henc,0.000576576,576.5758472,577
#ohio,0.000573124,573.1237923,574
garbag,0.000537085,537.0852947,538
eve,0.000535213,535.2130063,536
articl,0.000535016,535.0156405,536
pre,0.000523788,523.7875233,524
rememb,0.000522756,522.7555387,523
#saveourplanet,0.000522687,522.6867963,523
formal,0.000508495,508.4948094,509
behind,0.00050128,501.2795762,502
ctkjm,0.000489614,489.6137087,490
eleph,0.000481803,481.8025292,482
choic,0.000449647,449.646662,450
happen,0.000447985,447.9852979,448
take,0.00039778,397.7798446,398
planet,0.000375422,375.4215411,376
#phonebank,0.00037323,373.2295067,374
#georgeclooney,0.000372522,372.5215644,373
potu,0.000365185,365.1847263,366
#greenparti,0.000350586,350.5862221,351
messag,0.000332038,332.0375409,333
chang,0.000307793,307.792507,308
still,0.00026463,264.6296495,265
#petergleick,0.000257156,257.1561807,258
earthquak,0.000212538,212.5375792,213
fox,0.000205832,205.8321553,206
#motherearthp,0.000202208,202.207611,203
non,0.000196807,196.8070623,197
#yellowston,0.000189737,189.7371567,190
peopl,0.000187395,187.3947602,188
post,0.000161799,161.7986103,162
smarter,0.000149787,149.7866103,150
disagre,0.000141514,141.514197,142
ieuc,0.00014049,140.4900737,141
bhoi,0.000131971,131.9707559,132
actual,0.000115244,115.2435788,116
tax,7.95E-05,79.45650181,80
#gogreen,3.60E-05,36.03392074,37
everi,3.47E-05,34.66578791,35
yet,2.60E-05,25.99125516,26
ian,2.39E-05,23.93506084,24
